PATHO,PLANT,DATE,MASS,START_DAY,DAYS,POSITION,TOTAL_MASS,MASS_plant,MASS_patho
C,C1,08/01/2016,0.03966597077244259,26/11/2015,22,7,4.79,0.05219206680584551,0.003479471120389701
C,C10,20/01/2016,0.0573394495412844,26/11/2015,55,2,4.36,0.09862385321100917,0.26039339890749447
C,C11,01/02/2016,0.04509803921568628,26/11/2015,27,4,5.1,0.06666666666666668,0.04747166136159735
C,C12,04/01/2016,0.03532608695652174,26/11/2015,33,9,3.6799999999999997,0.17119565217391305,0.07082901551695509
C,C13,04/01/2016,0.06172839506172839,26/11/2015,33,3,6.48,0.06635802469135801,0.0828719314487599
C,C14,08/01/2016,0.09885057471264369,26/11/2015,43,3,4.35,0.09885057471264369,0.2032181642853417
C,C15,01/02/2016,0.04444444444444445,26/11/2015,33,15,6.3,0.11428571428571428,0.07844806313600271
C,C2,04/01/2016,0.015503875968992251,26/11/2015,22,1,6.449999999999999,0.10077519379844962,0.013733170908973212
C,C3,20/01/2016,0.158,26/11/2015,55,5,5.0,0.20600000000000002,0.2565707689380755
C,C4,04/01/2016,0.0390015600624025,26/11/2015,39,7,6.41,0.13260530421216848,0.12727996287196944
C,C5,04/01/2016,0.09821428571428571,26/11/2015,33,12,5.6000000000000005,0.14821428571428572,0.05941597203869422
C,C6,04/01/2016,0.04924242424242424,26/11/2015,22,12,5.28,0.0946969696969697,0.007014824655743237
C,C8,01/02/2016,0.05718954248366013,26/11/2015,39,13,6.12,0.05718954248366013,0.11573668295895474
C,C9,04/01/2016,0.016666666666666666,26/11/2015,26,13,5.4,0.22037037037037036,0.037093779579659404
X,X1,01/02/2016,0.039783001808318265,26/11/2015,11,15,5.53,0.08499095840867991,0.04350038303914447
X,X10,04/01/2016,0.03803131991051454,26/11/2015,11,11,4.470000000000001,0.07606263982102908,0.05887554549404745
X,X11,04/01/2016,0.0392156862745098,26/11/2015,11,11,4.08,0.12009803921568626,0.03783431914523248
X,X12,04/02/2016,0.045714285714285714,26/11/2015,8,8,3.5,0.08285714285714285,0.018243392156060013
X,X13,01/02/2016,0.01871101871101871,26/11/2015,8,9,4.8100000000000005,0.06444906444906444,0.012719582632250488
X,X14,01/02/2016,0.027538726333907058,26/11/2015,11,7,5.81,0.08605851979345956,0.029827783197520056
X,X15,02/02/2016,0.0436241610738255,26/11/2015,13,6,5.96,0.09060402684563759,0.08894400434515755
X,X2,01/02/2016,0.0177133655394525,26/11/2015,8,15,6.209999999999999,0.09178743961352658,0.006119162640901772
X,X3,04/01/2016,0.03660565723793677,26/11/2015,13,8,6.010000000000001,0.07986688851913476,0.08097148916458868
X,X4,01/02/2016,0.02680067001675042,26/11/2015,13,4,5.97,0.09882747068676717,0.0783092595472842
X,X5,02/02/2016,0.028077753779697626,26/11/2015,11,10,4.63,0.08423326133909287,0.02684442117801346
X,X6,01/02/2016,0.23101265822784808,26/11/2015,67,5,3.16,0.23101265822784808,0.4703732917534529
X,X7,01/02/2016,0.023255813953488372,26/11/2015,11,10,4.73,0.09513742071881606,0.06521804020863518
X,X8,04/01/2016,0.027363184079601994,26/11/2015,11,2,4.02,0.09950248756218907,0.07172076150149971
X,X9,04/01/2016,0.012704174228675138,26/11/2015,14,12,5.51,0.10163339382940109,0.0925737684104933
Y,Y1,04/01/2016,0.08387096774193548,26/11/2015,22,6,4.65,0.1268817204301075,0.025920882377516122
Y,Y10,04/01/2016,0.046931407942238275,26/11/2015,26,5,5.539999999999999,0.11732851985559568,0.15045303422673625
Y,Y11,04/01/2016,0.04320987654320988,26/11/2015,26,3,4.859999999999999,0.23251028806584362,0.11938422394098928
Y,Y12,01/02/2016,0.020872865275142316,26/11/2015,22,15,5.27,0.11005692599620494,0.029842451004967106
Y,Y13,01/02/2016,0.014028056112224449,26/11/2015,26,2,4.99,0.1002004008016032,0.10388353806993304
Y,Y14,03/02/2016,0.023696682464454975,26/11/2015,22,1,4.220000000000001,0.07819905213270141,0.017462101015508956
Y,Y15,04/01/2016,0.06157635467980295,26/11/2015,26,10,4.0600000000000005,0.2068965517241379,0.07511820649607423
Y,Y2,04/01/2016,0.01721170395869191,26/11/2015,26,11,5.8100000000000005,0.18588640275387264,0.04971317071934379
Y,Y3,01/02/2016,0.05720823798627002,26/11/2015,26,13,4.37,0.08009153318077802,0.1247236594863745
Y,Y4,04/01/2016,0.018018018018018018,26/11/2015,19,14,4.44,0.10135135135135134,0.006756756756756756
Y,Y5,04/01/2016,0.025041736227045072,26/11/2015,26,14,5.99,0.14023372287145242,0.1340725743444713
Y,Y6,22/12/2015,0.08029197080291971,26/11/2015,26,8,4.11,0.1800486618004866,0.09499182098647704
Y,Y7,04/01/2016,0.034722222222222224,26/11/2015,26,9,4.319999999999999,0.15740740740740744,0.0829885768664446
Y,Y8,01/02/2016,0.027088036117381486,26/11/2015,26,12,4.430000000000001,0.09029345372460496,0.05272295251016395
Y,Y9,04/01/2016,0.059210526315789484,26/11/2015,39,3,4.56,0.059210526315789484,0.3126865766343158
Z,Z1,02/02/2016,0.04439746300211416,26/11/2015,11,8,4.73,0.05285412262156448,0.01746986579277387
Z,Z10,01/02/2016,0.03137254901960784,26/11/2015,11,8,5.1,0.05098039215686275,0.0033986928104575167
Z,Z11,08/01/2016,0.03294117647058824,26/11/2015,22,4,4.25,0.12470588235294118,0.11900122690000282
Z,Z12,01/02/2016,0.044226044226044224,26/11/2015,19,14,4.07,0.08845208845208845,0.06579749368210744
Z,Z13,15/12/2015,0.06739130434782609,26/11/2015,19,1,4.6,0.11956521739130435,0.08404670213797744
Z,Z14,07/12/2015,0.0356234096692112,26/11/2015,11,6,3.9299999999999997,0.050890585241730284,0.006791398493239536
Z,Z15,04/01/2016,0.01789709172259508,26/11/2015,22,10,4.47,0.05816554809843401,0.10214094694987247
Z,Z2,08/01/2016,0.07246376811594203,26/11/2015,13,4,3.45,0.07246376811594203,0.029386732808862084
Z,Z3,01/02/2016,0.05329949238578681,26/11/2015,19,13,3.9399999999999995,0.05329949238578681,0.07955394851478904
Z,Z4,04/01/2016,0.04319654427645789,26/11/2015,19,14,4.63,0.060475161987041046,0.05559143556730407
Z,Z5,02/02/2016,0.028517110266159697,26/11/2015,13,7,5.26,0.06463878326996199,0.036637161497447786
Z,Z6,04/01/2016,0.00894854586129754,26/11/2015,14,5,4.47,0.09843400447427293,0.0467288402271052
Z,Z7,08/01/2016,0.034926470588235295,26/11/2015,19,11,5.4399999999999995,0.08639705882352941,0.07600064902240325
Z,Z8,01/02/2016,0.07225433526011561,26/11/2015,19,6,3.46,0.07225433526011561,0.07080712759347545
Z,Z9,08/01/2016,0.05357142857142857,26/11/2015,19,1,3.36,0.07142857142857142,0.0934462880593025
